year,weight_class,place,county,mow
2021,106,1,Catawba,false
2021,106,2,Rockingham,false
2021,106,3,Yadkin,false
2021,113,1,Wilkes,false
2021,113,2,Catawba,false
2021,113,3,Rockingham,false
2021,120,1,Union,true
2021,120,2,Cabarrus,false
2021,120,3,Rowan,false
2021,126,1,Rockingham,false
2021,126,2,Randolph,false
2021,126,3,Catawba,false
2021,132,1,Union,false
2021,132,2,Lincoln,false
2021,132,3,Stanley,false
2021,138,1,Rowan,false
2021,138,2,Haywood,false
2021,138,3,Union,false
2021,144/145,1,Surry,false
2021,144/145,2,Rowan,false
2021,144/145,3,Onslow,false
2021,150/152,1,Haywood,false
2021,150/152,2,Gaston,false
2021,150/152,3,Stanley,false
2021,157/160,1,Union,false
2021,157/160,2,Cabarrus,false
2021,157/160,3,Catawba,false
2021,165/170,1,Union,false
2021,165/170,2,Cabarrus,false
2021,165/170,3,Catawba,false
2021,175/182,1,Catawba,false
2021,175/182,2,Dare,false
2021,175/182,3,Randolph,false
2021,190/195,1,Cabarrus,false
2021,190/195,2,Orange,false
2021,190/195,3,Catawba,false
2021,215/220,1,Cabarrus,false
2021,215/220,2,Pitt,false
2021,215/220,3,Catawba,false
2021,285,1,Catawba,false
2021,285,2,Wilkes,false
2021,285,3,Rockingham,false

2022,106,1,Catawba,false
2022,106,2,Rockingham,false
2022,106,3,Lincoln,false
2022,113,1,Rutherford,false
2022,113,2,Wilkes,false
2022,113,3,Cabarrus,false
2022,120,1,Rockingham,false
2022,120,2,Catawba,false
2022,120,3,Catawba,false
2022,126,1,Cabarrus,false
2022,126,2,Lincoln,false
2022,126,3,Catawba,false
2022,132,1,Catawba,false
2022,132,2,Cabarrus,false
2022,132,3,Stokes,false
2022,138,1,Randolph,false
2022,138,2,Catawba,false
2022,138,3,Carteret,false
2022,144/145,1,Surry,false
2022,144/145,2,Burke,false
2022,144/145,3,Catawba,false
2022,150/152,1,Surry,true
2022,150/152,2,Burke,false
2022,150/152,3,Catawba,false
2022,157/160,1,Catawba,false
2022,157/160,2,Catawba,false
2022,157/160,3,Rockingham,false
2022,165/170,1,Cabarrus,false
2022,165/170,2,Rutherford,false
2022,165/170,3,Catawba,false
2022,175/182,1,Pitt,false
2022,175/182,2,Surry,false
2022,175/182,3,Randolph,false
2022,190/195,1,Catawba,false
2022,190/195,2,Madison,false
2022,190/195,3,Rowan,false
2022,215/220,1,Catawba,false
2022,215/220,2,Stokes,false
2022,215/220,3,Cabarrus,false
2022,285,1,Rowan,false
2022,285,2,Transylvania,false
2022,285,3,Catawba,false

2023,106,1,Rockingham,false
2023,106,2,Chatham,false
2023,106,3,Cabarrus,false
2023,113,1,Rutherford,false
2023,113,2,Chatham,false
2023,113,3,Randolph,false
2023,120,1,Rockingham,false
2023,120,2,Randolph,false
2023,120,3,Wilkes,false
2023,126,1,Rockingham,false
2023,126,2,Craven,false
2023,126,3,Cabarrus,false
2023,132,1,Cabarrus,false
2023,132,2,Pasquotank,false
2023,132,3,Lincoln,false
2023,138,1,Catawba,false
2023,138,2,Rutherford,false
2023,138,3,Catawba,false
2023,144/145,1, Cleveland,false
2023,144/145,2,Henderson,false
2023,144/145,3,Lincoln,false
2023,150/152,1,Surry,true
2023,150/152,2,Henderson,false
2023,150/152,3,Rockingham,false
2023,157/160,1,Surry,false
2023,157/160,2,Onslow,false
2023,157/160,3,Catawba,false
2023,165/170,1,Transylvania,false
2023,165/170,2,Catawba,false
2023,165/170,3,Rutherford,false
2023,175/182,1,Lincoln,false
2023,175/182,2,Granville,false
2023,175/182,3,Onslow,false
2023,190/195,1,Catawba,false
2023,190/195,2,Transylvania,false
2023,190/195,3,Catawba,false
2023,215/220,1,Rowan,false
2023,215/220,2,Cabarrus,false
2023,215/220,3,Lincoln,false
2023,285,1,Catawba,false
2023,285,2,Franklin,false
2023,285,3,Randolph,false

2024,106,1,Cabarrus,false
2024,106,2,Franklin,false
2024,106,3,Chatham,false
2024,113,1,Catawba,false
2024,113,2,Rockingham,false
2024,113,3,Surry,false
2024,120,1,Chatham,false
2024,120,2,Randolph,false
2024,120,3,Catawba,false
2024,126,1,Chatham,false
2024,126,2,Rutherford,false
2024,126,3,Cabarrus,false
2024,132,1,Rockingham,true
2024,132,2,Rutherford,false
2024,132,3,Pasquotank,false
2024,138,1,Catawba,false
2024,138,2,Rockingham,false
2024,138,3,Onslow,false
2024,144/145,1,Cabarrus,false
2024,144/145,2,Gaston,false
2024,144/145,3,Beaufort,false
2024,150/152,1,Caldwell,false
2024,150/152,2,Rutherford,false
2024,150/152,3,Lincoln,false
2024,157/160,1,Rockingham,false
2024,157/160,2,Beaufort,false
2024,157/160,3,Cabarrus,false
2024,165/170,1,Transylvania,false
2024,165/170,2,Wilkes,false
2024,165/170,3,Randolph,false
2024,175/182,1,Catawba,false
2024,175/182,2,Rockingham,false
2024,175/182,3,Chatham,false
2024,190/195,1,Transylvania,false
2024,190/195,2,Union,false
2024,190/195,3,Catawba,false
2024,215/220,1,Randolph,false
2024,215/220,2,Catawba,false
2024,215/220,3,Chatham,false
2024,285,1,Lincoln,false
2024,285,2,Cabarrus,false
2024,285,3,Wayne,false

2025,106,1,Randolph,false
2025,106,2,Beaufort,false
2025,106,3,Wilkes,false
2025,113,1,Chatham,false
2025,113,2,Rockingham,false
2025,113,3,Catawba,false
2025,120,1,Chatham,false
2025,120,2,Caldwell,false
2025,120,3,Franklin,false
2025,126,1,Randolph,false
2025,126,2,Beaufort,false
2025,126,3,Rutherford,false
2025,132,1,Chatham,false
2025,132,2,Cabarrus,false
2025,132,3,Rutherford,false
2025,138,1,Rockingham,false
2025,138,2,Randolph,false
2025,138,3,Henderson,false
2025,144/145,1,Catawba,false
2025,144/145,2,Beaufort,false
2025,144/145,3,Rockingham,false
2025,150/152,1,Craven,false
2025,150/152,2,Lincoln,false
2025,150/152,3,Lincoln,false
2025,157/160,1,Rutherford,true
2025,157/160,2,Catawba,false
2025,157/160,3,Gaston,false
2025,165/170,1,Randolph,false
2025,165/170,2,Catawba,false
2025,165/170,3,Wilkes,false
2025,175/182,1,Randolph,false
2025,175/182,2,Cabarrus,false
2025,175/182,3,Lincoln,false
2025,190/195,1,Union,false
2025,190/195,2,Rutherford,false
2025,190/195,3,Chatham,false
2025,215/220,1,Rudolph,false
2025,215/220,2,Chatham,false
2025,215/220,3,Catawba,false
2025,285,1,Wayne,false
2025,285,2,Rockingham,false
2025,285,3,Rudolph,false
